device_id,ts,seq,rssi,reading,val
C000123,1656624601,1,-43,temp,17.7
C000123,1656624601,1,-43,co2,534
C000123,1656624601,1,-43,hum,68.7
C000123,1656625501,2,-46,temp,19.1
C000123,1656625501,2,-46,co2,552
C000123,1656625501,2,-46,hum,64.1
C000123,1656626401,3,-50,temp,20.0
C000123,1656626401,3,-50,co2,668
C000123,1656626401,3,-50,hum,63.2
C000123,1656627301,4,-47,temp,20.6
C000123,1656627301,4,-47,co2,867
C000123,1656627301,4,-47,hum,64.1
C000123,1656628201,5,-47,temp,21.1
C000123,1656628201,5,-47,co2,1106
C000123,1656628201,5,-47,hum,65.3
C000123,1656629101,6,-44,temp,21.9
C000123,1656629101,6,-44,co2,1290
C000123,1656629101,6,-44,hum,64.3
C000123,1656630001,7,-43,temp,22.3
C000123,1656630001,7,-43,co2,1423
C000123,1656630001,7,-43,hum,64.1
C000123,1656630901,8,-48,temp,22.9
C000123,1656630901,8,-48,co2,1563
C000123,1656630901,8,-48,hum,63.3
C000123,1656631801,9,-47,temp,23.6
C000123,1656631801,9,-47,co2,1707
C000123,1656631801,9,-47,hum,62.1
C000123,1656632701,10,-51,temp,24.1
C000123,1656632701,10,-51,co2,1376
C000123,1656632701,10,-51,hum,59.0
C000131,1656283501,3045,-65,temp,18.2
C000131,1656283501,3045,-65,co2,655
C000131,1656283501,3045,-65,hum,57.6
C000131,1656284401,3046,-68,temp,18.8
C000131,1656284401,3046,-68,co2,634
C000131,1656284401,3046,-68,hum,56.1
C000131,1656285301,3047,-72,temp,19.5
C000131,1656285301,3047,-72,co2,600
C000131,1656285301,3047,-72,hum,53.7
C000131,1656286201,3048,-69,temp,20.3
C000131,1656286201,3048,-69,co2,720
C000131,1656286201,3048,-69,hum,53.2
C000131,1656287101,3049,-66,temp,21.3
C000131,1656287101,3049,-66,co2,844
C000131,1656287101,3049,-66,hum,52.4
C000131,1656288001,3050,-71,temp,21.6
C000131,1656288001,3050,-71,co2,952
C000131,1656288001,3050,-71,hum,53.3
C000131,1656288901,3051,-66,temp,21.6
C000131,1656288901,3051,-66,co2,963
C000131,1656288901,3051,-66,hum,53.6
C000131,1656289801,3052,-67,temp,21.4
C000131,1656289801,3052,-67,co2,1106
C000131,1656289801,3052,-67,hum,56.0
C000131,1656290701,3053,-67,temp,22.1
C000131,1656290701,3053,-67,co2,1065
C000131,1656290701,3053,-67,hum,53.9
C000131,1656291602,3054,-70,temp,22.0
C000131,1656291602,3054,-70,co2,1092
C000131,1656291602,3054,-70,hum,54.8
C000131,1656292502,3055,-69,temp,22.3
C000131,1656292502,3055,-69,co2,1245
C000131,1656292502,3055,-69,hum,54.5
C000131,1656293402,3056,-69,temp,22.0
C000131,1656293402,3056,-69,co2,1402
C000131,1656293402,3056,-69,hum,56.2
C000131,1656294302,3057,-68,temp,22.0
C000131,1656294302,3057,-68,co2,1372
C000131,1656294302,3057,-68,hum,56.5
C000131,1656295202,3058,-71,temp,22.0
C000131,1656295202,3058,-71,co2,1532
C000131,1656295202,3058,-71,hum,57.0
C000131,1656296102,3059,-69,temp,22.1
C000131,1656296102,3059,-69,co2,1498
C000131,1656296102,3059,-69,hum,56.5
C000131,1656297002,3060,-72,temp,22.7
C000131,1656297002,3060,-72,co2,1442
C000131,1656297002,3060,-72,hum,54.0
C000131,1656297902,3061,-70,temp,22.3
C000131,1656297902,3061,-70,co2,1127
C000131,1656297902,3061,-70,hum,52.6
C000131,1656298802,3062,-71,temp,22.7
C000131,1656298802,3062,-71,co2,965
C000131,1656298802,3062,-71,hum,50.8
C000131,1656299702,3063,-71,temp,22.5
C000131,1656299702,3063,-71,co2,910
C000131,1656299702,3063,-71,hum,51.0
C000131,1656300602,3064,-73,temp,22.6
C000131,1656300602,3064,-73,co2,799
C000131,1656300602,3064,-73,hum,48.6
C000131,1656301502,3065,-70,temp,22.4
C000131,1656301502,3065,-70,co2,693
C000131,1656301502,3065,-70,hum,46.7
C000131,1656302402,3066,-73,temp,22.2
C000131,1656302402,3066,-73,co2,819
C000131,1656302402,3066,-73,hum,48.7
C000131,1656303302,3067,-69,temp,22.5
C000131,1656303302,3067,-69,co2,958
C000131,1656303302,3067,-69,hum,49.5
C000131,1656304202,3068,-71,temp,22.5
C000131,1656304202,3068,-71,co2,1009
C000131,1656304202,3068,-71,hum,50.6
C000131,1656305102,3069,-70,temp,22.3
C000131,1656305102,3069,-70,co2,1058
C000131,1656305102,3069,-70,hum,51.4
C000131,1656306002,3070,-70,temp,22.3
C000131,1656306002,3070,-70,co2,1117
C000131,1656306002,3070,-70,hum,51.9
C000131,1656306902,3071,-69,temp,22.2
C000131,1656306902,3071,-69,co2,1123
C000131,1656306902,3071,-69,hum,52.1
C000131,1656307802,3072,-69,temp,22.0
C000131,1656307802,3072,-69,co2,1085
C000131,1656307802,3072,-69,hum,52.0
C000131,1656308702,3073,-68,temp,22.0
C000131,1656308702,3073,-68,co2,1034
C000131,1656308702,3073,-68,hum,52.1
C000131,1656309602,3074,-68,temp,21.8
C000131,1656309602,3074,-68,co2,984
C000131,1656309602,3074,-68,hum,52.5
C000131,1656310502,3075,-68,temp,21.6
C000131,1656310502,3075,-68,co2,953
C000131,1656310502,3075,-68,hum,52.8
C000131,1656311402,3076,-68,temp,21.7
C000131,1656311402,3076,-68,co2,907
C000131,1656311402,3076,-68,hum,52.3
C000131,1656312302,3077,-69,temp,21.3
C000131,1656312302,3077,-69,co2,842
C000131,1656312302,3077,-69,hum,53.5
C000131,1656313202,3078,-66,temp,20.8
C000131,1656313202,3078,-66,co2,814
C000131,1656313202,3078,-66,hum,54.5
C000131,1656314102,3079,-70,temp,20.4
C000131,1656314102,3079,-70,co2,772
C000131,1656314102,3079,-70,hum,55.3
C000131,1656315002,3080,-68,temp,20.1
C000131,1656315002,3080,-68,co2,735
C000131,1656315002,3080,-68,hum,56.0
C000131,1656315902,3081,-70,temp,19.9
C000131,1656315902,3081,-70,co2,702
C000131,1656315902,3081,-70,hum,56.6
C000131,1656316802,3082,-67,temp,19.6
C000131,1656316802,3082,-67,co2,674
C000131,1656316802,3082,-67,hum,57.1
C000131,1656317702,3083,-67,temp,19.4
C000131,1656317702,3083,-67,co2,645
C000131,1656317702,3083,-67,hum,57.4
C000131,1656318601,3084,-70,temp,19.1
C000131,1656318601,3084,-70,co2,640
C000131,1656318601,3084,-70,hum,57.7
C000131,1656319501,3085,-68,temp,18.9
C000131,1656319501,3085,-68,co2,622
C000131,1656319501,3085,-68,hum,58.0
C000131,1656320401,3086,-66,temp,18.7
C000131,1656320401,3086,-66,co2,600
C000131,1656320401,3086,-66,hum,58.1
C000131,1656321301,3087,-69,temp,18.5
C000131,1656321301,3087,-69,co2,598
C000131,1656321301,3087,-69,hum,58.3
C000131,1656322201,3088,-69,temp,18.3
C000131,1656322201,3088,-69,co2,587
C000131,1656322201,3088,-69,hum,58.5
C000131,1656323101,3089,-66,temp,18.1
C000131,1656323101,3089,-66,co2,572
C000131,1656323101,3089,-66,hum,58.8
C000131,1656324001,3090,-69,temp,18.0
C000131,1656324001,3090,-69,co2,555
C000131,1656324001,3090,-69,hum,59.0
C000131,1656324901,3091,-70,temp,17.8
C000131,1656324901,3091,-70,co2,541
C000131,1656324901,3091,-70,hum,59.1
C000131,1656325801,3092,-67,temp,17.7
C000131,1656325801,3092,-67,co2,539
C000131,1656325801,3092,-67,hum,59.3
C000131,1656326701,3093,-71,temp,17.6
C000131,1656326701,3093,-71,co2,527
C000131,1656326701,3093,-71,hum,59.5
C000131,1656327601,3094,-71,temp,17.5
C000131,1656327601,3094,-71,co2,517
C000131,1656327601,3094,-71,hum,59.7
C000131,1656328501,3095,-71,temp,17.4
C000131,1656328501,3095,-71,co2,519
C000131,1656328501,3095,-71,hum,60.0
C000131,1656329401,3096,-68,temp,17.3
C000131,1656329401,3096,-68,co2,512
C000131,1656329401,3096,-68,hum,59.9
C000131,1656330301,3097,-68,temp,17.2
C000131,1656330301,3097,-68,co2,510
C000131,1656330301,3097,-68,hum,60.1
C000131,1656331201,3098,-67,temp,17.1
C000131,1656331201,3098,-67,co2,499
C000131,1656331201,3098,-67,hum,60.3
C000131,1656332101,3099,-67,temp,17.0
C000131,1656332101,3099,-67,co2,498
C000131,1656332101,3099,-67,hum,60.3
C000131,1656333001,3100,-69,temp,16.9
C000131,1656333001,3100,-69,co2,487
C000131,1656333001,3100,-69,hum,60.4
C000131,1656333901,3101,-69,temp,16.8
C000131,1656333901,3101,-69,co2,488
C000131,1656333901,3101,-69,hum,60.5
C000131,1656334801,3102,-66,temp,16.7
C000131,1656334801,3102,-66,co2,475
C000131,1656334801,3102,-66,hum,60.6
C000131,1656335701,3103,-70,temp,16.6
C000131,1656335701,3103,-70,co2,474
C000131,1656335701,3103,-70,hum,60.6
C000131,1656336601,3104,-67,temp,16.6
C000131,1656336601,3104,-67,co2,475
C000131,1656336601,3104,-67,hum,60.7
C000131,1656337501,3105,-67,temp,16.5
C000131,1656337501,3105,-67,co2,470
C000131,1656337501,3105,-67,hum,60.8
C000131,1656338401,3106,-67,temp,16.4
C000131,1656338401,3106,-67,co2,471
C000131,1656338401,3106,-67,hum,60.9
C000131,1656339301,3107,-68,temp,16.3
C000131,1656339301,3107,-68,co2,469
C000131,1656339301,3107,-68,hum,61.1
C000131,1656340201,3108,-70,temp,16.3
C000131,1656340201,3108,-70,co2,475
C000131,1656340201,3108,-70,hum,61.2
C000131,1656341101,3109,-69,temp,16.2
C000131,1656341101,3109,-69,co2,473
C000131,1656341101,3109,-69,hum,61.3
C000131,1656342001,3110,-73,temp,16.1
C000131,1656342001,3110,-73,co2,469
C000131,1656342001,3110,-73,hum,61.4
C000131,1656342901,3111,-70,temp,16.0
C000131,1656342901,3111,-70,co2,463
C000131,1656342901,3111,-70,hum,61.5
C000131,1656343801,3112,-70,temp,15.9
C000131,1656343801,3112,-70,co2,467
C000131,1656343801,3112,-70,hum,61.6
C000131,1656344701,3113,-71,temp,15.8
C000131,1656344701,3113,-71,co2,467
C000131,1656344701,3113,-71,hum,61.8
C000131,1656345601,3114,-66,temp,15.7
C000131,1656345601,3114,-66,co2,469
C000131,1656345601,3114,-66,hum,62.0
C000131,1656346501,3115,-68,temp,15.6
C000131,1656346501,3115,-68,co2,462
C000131,1656346501,3115,-68,hum,62.1
C000131,1656347401,3116,-66,temp,15.5
C000131,1656347401,3116,-66,co2,467
C000131,1656347401,3116,-66,hum,62.3
C000131,1656348301,3117,-70,temp,15.4
C000131,1656348301,3117,-70,co2,459
C000131,1656348301,3117,-70,hum,62.4
C000131,1656349201,3118,-68,temp,15.2
C000131,1656349201,3118,-68,co2,457
C000131,1656349201,3118,-68,hum,62.6
C000131,1656350101,3119,-69,temp,15.2
C000131,1656350101,3119,-69,co2,455
C000131,1656350101,3119,-69,hum,62.7
C000131,1656351001,3120,-69,temp,15.1
C000131,1656351001,3120,-69,co2,467
C000131,1656351001,3120,-69,hum,62.7
C000131,1656351901,3121,-67,temp,15.2
C000131,1656351901,3121,-67,co2,467
C000131,1656351901,3121,-67,hum,62.2
C000131,1656352801,3122,-68,temp,15.2
C000131,1656352801,3122,-68,co2,470
C000131,1656352801,3122,-68,hum,62.2
C000131,1656353701,3123,-68,temp,14.9
C000131,1656353701,3123,-68,co2,462
C000131,1656353701,3123,-68,hum,62.8
C000131,1656354601,3124,-68,temp,14.8
C000131,1656354601,3124,-68,co2,462
C000131,1656354601,3124,-68,hum,62.9
C000131,1656355501,3125,-69,temp,14.8
C000131,1656355501,3125,-69,co2,466
C000131,1656355501,3125,-69,hum,62.9
C000131,1656356401,3126,-70,temp,15.1
C000131,1656356401,3126,-70,co2,461
C000131,1656356401,3126,-70,hum,62.3
C000131,1656357301,3127,-67,temp,15.6
C000131,1656357301,3127,-67,co2,464
C000131,1656357301,3127,-67,hum,60.7
C000131,1656358201,3128,-67,temp,15.9
C000131,1656358201,3128,-67,co2,449
C000131,1656358201,3128,-67,hum,59.9
C000131,1656359101,3129,-67,temp,16.1
C000131,1656359101,3129,-67,co2,455
C000131,1656359101,3129,-67,hum,59.6
C000131,1656360001,3130,-69,temp,16.2
C000131,1656360001,3130,-69,co2,455
C000131,1656360001,3130,-69,hum,59.5
C000131,1656360901,3131,-70,temp,16.3
C000131,1656360901,3131,-70,co2,458
C000131,1656360901,3131,-70,hum,59.5
C000131,1656361801,3132,-69,temp,16.3
C000131,1656361801,3132,-69,co2,590
C000131,1656361801,3132,-69,hum,60.7
C000131,1656362701,3133,-67,temp,17.8
C000131,1656362701,3133,-67,co2,574
C000131,1656362701,3133,-67,hum,56.6
C000131,1656363601,3134,-68,temp,18.5
C000131,1656363601,3134,-68,co2,593
C000131,1656363601,3134,-68,hum,55.3
C000131,1656364501,3135,-67,temp,18.8
C000131,1656364501,3135,-67,co2,701
C000131,1656364501,3135,-67,hum,55.5
C000131,1656365401,3136,-69,temp,19.4
C000131,1656365401,3136,-69,co2,767
C000131,1656365401,3136,-69,hum,54.9
C000131,1656366301,3137,-69,temp,19.5
C000131,1656366301,3137,-69,co2,825
C000131,1656366301,3137,-69,hum,55.5
C000131,1656367201,3138,-70,temp,19.9
C000131,1656367201,3138,-70,co2,931
C000131,1656367201,3138,-70,hum,55.3
C000131,1656368101,3139,-69,temp,20.2
C000131,1656368101,3139,-69,co2,994
C000131,1656368101,3139,-69,hum,55.1
C000131,1656369001,3140,-66,temp,20.3
C000131,1656369001,3140,-66,co2,1013
C000131,1656369001,3140,-66,hum,55.0
C000131,1656369901,3141,-66,temp,20.1
C000131,1656369901,3141,-66,co2,1030
C000131,1656369901,3141,-66,hum,55.6
C000131,1656370801,3142,-67,temp,20.9
C000131,1656370801,3142,-67,co2,1172
C000131,1656370801,3142,-67,hum,54.8
C000131,1656371701,3143,-69,temp,21.2
C000131,1656371701,3143,-69,co2,1233
C000131,1656371701,3143,-69,hum,54.8
C000131,1656372601,3144,-68,temp,21.5
C000131,1656372601,3144,-68,co2,1205
C000131,1656372601,3144,-68,hum,54.4
C000131,1656373501,3145,-70,temp,21.4
C000131,1656373501,3145,-70,co2,1189
C000131,1656373501,3145,-70,hum,55.1
C000131,1656374401,3146,-70,temp,21.1
C000131,1656374401,3146,-70,co2,1204
C000131,1656374401,3146,-70,hum,56.3
C000131,1656375301,3147,-69,temp,21.6
C000131,1656375301,3147,-69,co2,1205
C000131,1656375301,3147,-69,hum,55.2
C000131,1656376201,3148,-69,temp,21.8
C000131,1656376201,3148,-69,co2,1098
C000131,1656376201,3148,-69,hum,54.2
C000131,1656377101,3149,-71,temp,22.0
C000131,1656377101,3149,-71,co2,1037
C000131,1656377101,3149,-71,hum,53.3
C000131,1656378001,3150,-68,temp,22.2
C000131,1656378001,3150,-68,co2,778
C000131,1656378001,3150,-68,hum,50.5
C000131,1656378901,3151,-67,temp,21.9
C000131,1656378901,3151,-67,co2,688
C000131,1656378901,3151,-67,hum,50.6
C000131,1656379801,3152,-67,temp,21.8
C000131,1656379801,3152,-67,co2,705
C000131,1656379801,3152,-67,hum,51.7
C000131,1656380701,3153,-65,temp,22.1
C000131,1656380701,3153,-65,co2,704
C000131,1656380701,3153,-65,hum,50.8
C000131,1656381601,3154,-67,temp,22.0
C000131,1656381601,3154,-67,co2,755
C000131,1656381601,3154,-67,hum,51.9
C000131,1656382501,3155,-67,temp,21.8
C000131,1656382501,3155,-67,co2,926
C000131,1656382501,3155,-67,hum,53.5
C000131,1656383401,3156,-67,temp,22.1
C000131,1656383401,3156,-67,co2,1040
C000131,1656383401,3156,-67,hum,53.4
C000131,1656384301,3157,-69,temp,22.1
C000131,1656384301,3157,-69,co2,1089
C000131,1656384301,3157,-69,hum,54.0
C000131,1656385201,3158,-67,temp,21.9
C000131,1656385201,3158,-67,co2,1141
C000131,1656385201,3158,-67,hum,55.3
C000131,1656386101,3159,-71,temp,22.1
C000131,1656386101,3159,-71,co2,1108
C000131,1656386101,3159,-71,hum,54.5
C000131,1656387001,3160,-68,temp,22.3
C000131,1656387001,3160,-68,co2,929
C000131,1656387001,3160,-68,hum,52.6
C000131,1656387901,3161,-69,temp,22.3
C000131,1656387901,3161,-69,co2,781
C000131,1656387901,3161,-69,hum,50.8
C000131,1656388801,3162,-69,temp,22.4
C000131,1656388801,3162,-69,co2,753
C000131,1656388801,3162,-69,hum,50.0
C000131,1656389701,3163,-68,temp,22.2
C000131,1656389701,3163,-68,co2,715
C000131,1656389701,3163,-68,hum,50.5
C000131,1656390601,3164,-71,temp,22.3
C000131,1656390601,3164,-71,co2,651
C000131,1656390601,3164,-71,hum,50.7
C000131,1656391501,3165,-67,temp,22.6
C000131,1656391501,3165,-67,co2,585
C000131,1656391501,3165,-67,hum,49.4
C000131,1656392401,3166,-66,temp,22.3
C000131,1656392401,3166,-66,co2,611
C000131,1656392401,3166,-66,hum,50.2
C000131,1656393301,3167,-66,temp,22.0
C000131,1656393301,3167,-66,co2,623
C000131,1656393301,3167,-66,hum,51.4
C000131,1656394201,3168,-68,temp,21.9
C000131,1656394201,3168,-68,co2,634
C000131,1656394201,3168,-68,hum,51.3
C000131,1656395101,3169,-69,temp,21.8
C000131,1656395101,3169,-69,co2,639
C000131,1656395101,3169,-69,hum,51.4
C000131,1656396001,3170,-67,temp,21.8
C000131,1656396001,3170,-67,co2,674
C000131,1656396001,3170,-67,hum,51.8
C000131,1656396901,3171,-68,temp,21.4
C000131,1656396901,3171,-68,co2,651
C000131,1656396901,3171,-68,hum,52.7
C000131,1656397801,3172,-70,temp,20.8
C000131,1656397801,3172,-70,co2,627
C000131,1656397801,3172,-70,hum,53.8
C000131,1656398701,3173,-67,temp,20.4
C000131,1656398701,3173,-67,co2,605
C000131,1656398701,3173,-67,hum,54.6
C000131,1656399601,3174,-68,temp,20.1
C000131,1656399601,3174,-68,co2,558
C000131,1656399601,3174,-68,hum,54.9
C000131,1656400501,3175,-68,temp,19.7
C000131,1656400501,3175,-68,co2,509
C000131,1656400501,3175,-68,hum,55.1
C000131,1656401401,3176,-68,temp,19.4
C000131,1656401401,3176,-68,co2,487
C000131,1656401401,3176,-68,hum,55.5
C000131,1656402301,3177,-70,temp,19.2
C000131,1656402301,3177,-70,co2,473
C000131,1656402301,3177,-70,hum,55.9
C000131,1656403201,3178,-68,temp,19.0
C000131,1656403201,3178,-68,co2,452
C000131,1656403201,3178,-68,hum,56.1
C000131,1656404101,3179,-69,temp,18.8
C000131,1656404101,3179,-69,co2,443
C000131,1656404101,3179,-69,hum,56.4
C000131,1656405001,3180,-67,temp,18.6
C000131,1656405001,3180,-67,co2,443
C000131,1656405001,3180,-67,hum,56.7
C000131,1656405901,3181,-70,temp,18.4
C000131,1656405901,3181,-70,co2,433
C000131,1656405901,3181,-70,hum,57.1
C000131,1656406801,3182,-70,temp,18.3
C000131,1656406801,3182,-70,co2,435
C000131,1656406801,3182,-70,hum,57.4
C000131,1656407701,3183,-69,temp,18.2
C000131,1656407701,3183,-69,co2,430
C000131,1656407701,3183,-69,hum,57.6
C000131,1656408601,3184,-69,temp,18.1
C000131,1656408601,3184,-69,co2,428
C000131,1656408601,3184,-69,hum,57.7
C000131,1656409501,3185,-68,temp,18.0
C000131,1656409501,3185,-68,co2,421
C000131,1656409501,3185,-68,hum,57.9
C000131,1656410401,3186,-68,temp,17.9
C000131,1656410401,3186,-68,co2,423
C000131,1656410401,3186,-68,hum,58.1
C000131,1656411301,3187,-69,temp,17.7
C000131,1656411301,3187,-69,co2,419
C000131,1656411301,3187,-69,hum,58.3
C000131,1656412201,3188,-71,temp,17.7
C000131,1656412201,3188,-71,co2,415
C000131,1656412201,3188,-71,hum,58.5
C000131,1656413101,3189,-68,temp,17.6
C000131,1656413101,3189,-68,co2,416
C000131,1656413101,3189,-68,hum,58.6
C000131,1656414001,3190,-69,temp,17.5
C000131,1656414001,3190,-69,co2,405
C000131,1656414001,3190,-69,hum,58.8
C000131,1656414901,3191,-69,temp,17.4
C000131,1656414901,3191,-69,co2,409
C000131,1656414901,3191,-69,hum,59.0
C000131,1656415801,3192,-70,temp,17.3
C000131,1656415801,3192,-70,co2,408
C000131,1656415801,3192,-70,hum,59.2
C000131,1656416701,3193,-69,temp,17.2
C000131,1656416701,3193,-69,co2,408
C000131,1656416701,3193,-69,hum,59.3
C000131,1656417601,3194,-67,temp,17.2
C000131,1656417601,3194,-67,co2,401
C000131,1656417601,3194,-67,hum,59.4
C000131,1656418501,3195,-69,temp,17.1
C000131,1656418501,3195,-69,co2,405
C000131,1656418501,3195,-69,hum,59.3
C000131,1656419401,3196,-68,temp,17.0
C000131,1656419401,3196,-68,co2,409
C000131,1656419401,3196,-68,hum,59.6
C000131,1656420301,3197,-68,temp,17.0
C000131,1656420301,3197,-68,co2,397
C000131,1656420301,3197,-68,hum,59.6
C000131,1656421201,3198,-68,temp,17.0
C000131,1656421201,3198,-68,co2,399
C000131,1656421201,3198,-68,hum,59.7
C000131,1656422101,3199,-69,temp,16.9
C000131,1656422101,3199,-69,co2,411
C000131,1656422101,3199,-69,hum,59.9
C000131,1656423002,3200,-69,temp,16.9
C000131,1656423002,3200,-69,co2,411
C000131,1656423002,3200,-69,hum,60.0
C000131,1656423901,3201,-68,temp,16.9
C000131,1656423901,3201,-68,co2,403
C000131,1656423901,3201,-68,hum,60.2
C000131,1656424801,3202,-66,temp,16.9
C000131,1656424801,3202,-66,co2,407
C000131,1656424801,3202,-66,hum,60.3
C000131,1656425701,3203,-70,temp,16.9
C000131,1656425701,3203,-70,co2,407
C000131,1656425701,3203,-70,hum,60.4
C000131,1656426601,3204,-69,temp,16.9
C000131,1656426601,3204,-69,co2,406
C000131,1656426601,3204,-69,hum,60.7
C000131,1656427501,3205,-65,temp,16.8
C000131,1656427501,3205,-65,co2,408
C000131,1656427501,3205,-65,hum,61.1
C000131,1656428401,3206,-70,temp,16.8
C000131,1656428401,3206,-70,co2,405
C000131,1656428401,3206,-70,hum,61.2
C000131,1656429302,3207,-69,temp,16.8
C000131,1656429302,3207,-69,co2,397
C000131,1656429302,3207,-69,hum,61.5
C000131,1656430201,3208,-65,temp,16.7
C000131,1656430201,3208,-65,co2,397
C000131,1656430201,3208,-65,hum,61.8
C000131,1656431101,3209,-69,temp,16.7
C000131,1656431101,3209,-69,co2,401
C000131,1656431101,3209,-69,hum,61.9
C000131,1656432001,3210,-67,temp,16.6
C000131,1656432001,3210,-67,co2,404
C000131,1656432001,3210,-67,hum,62.0
C000131,1656432901,3211,-69,temp,16.6
C000131,1656432901,3211,-69,co2,404
C000131,1656432901,3211,-69,hum,62.2
C000131,1656433801,3212,-67,temp,16.6
C000131,1656433801,3212,-67,co2,408
C000131,1656433801,3212,-67,hum,62.3
C000131,1656434701,3213,-67,temp,16.5
C000131,1656434701,3213,-67,co2,410
C000131,1656434701,3213,-67,hum,62.4
C000131,1656435601,3214,-69,temp,16.5
C000131,1656435601,3214,-69,co2,406
C000131,1656435601,3214,-69,hum,62.4
C000131,1656436501,3215,-67,temp,16.5
C000131,1656436501,3215,-67,co2,411
C000131,1656436501,3215,-67,hum,62.5
C000131,1656437401,3216,-66,temp,16.5
C000131,1656437401,3216,-66,co2,402
