dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,city,country_code
1655852439,2022-06-21T23:00:39.000Z,43200,Christchurch,-43.5333,172.6333,5.13,5.13,4.11,8.01,1026,,,86,0.89,1,,,,,1,800,Clear,clear sky,01d,Christchurch,NZ
1655855953,2022-06-21T23:59:13.000Z,43200,Christchurch,-43.5333,172.6333,7.7,6.98,6.11,10.23,1026,,,82,1.54,60,,,,,0,800,Clear,clear sky,01d,Christchurch,NZ
1655859674,2022-06-22T01:01:14.000Z,43200,Christchurch,-43.5333,172.6333,9.13,7.41,8.11,10.23,1026,,,74,3.09,40,,,,,4,800,Clear,clear sky,01d,Christchurch,NZ
1655863440,2022-06-22T02:04:00.000Z,43200,Christchurch,-43.5333,172.6333,9.91,8.08,9.11,11.34,1025,,,72,3.6,60,,,,,5,800,Clear,clear sky,01d,Christchurch,NZ
1655866666,2022-06-22T02:57:46.000Z,43200,Christchurch,-43.5333,172.6333,10.36,9.33,9.15,11.9,1025,,,72,3.09,40,,,,,4,800,Clear,clear sky,01d,Christchurch,NZ
1655870531,2022-06-22T04:02:11.000Z,43200,Christchurch,-43.5333,172.6333,9.65,8.04,8.6,10.18,1025,,,72,3.09,50,,,,,3,800,Clear,clear sky,01d,Christchurch,NZ
1655874300,2022-06-22T05:05:00.000Z,43200,Christchurch,-43.5333,172.6333,7.84,5.86,6.29,8.28,1025,,,78,3.09,60,,,,,3,800,Clear,clear sky,01n,Christchurch,NZ
1655877452,2022-06-22T05:57:32.000Z,43200,Christchurch,-43.5333,172.6333,5.73,3.71,3.51,6.62,1025,,,84,2.57,40,,,,,2,800,Clear,clear sky,01n,Christchurch,NZ
1655880984,2022-06-22T06:56:24.000Z,43200,Christchurch,-43.5333,172.6333,5.24,4.17,3.04,5.51,1025,,,87,1.54,40,,,,,0,741,Fog,fog,50n,Christchurch,NZ
1655885117,2022-06-22T08:05:17.000Z,43200,Christchurch,-43.5333,172.6333,4.25,3.04,1.38,4.95,1026,,,91,1.54,50,,,,,0,800,Clear,clear sky,01n,Christchurch,NZ
1655888127,2022-06-22T08:55:27.000Z,43200,Christchurch,-43.5333,172.6333,3.43,2.1,1.11,4.39,1026,,,90,1.54,40,,,,,100,741,Fog,fog,50n,Christchurch,NZ
1655891925,2022-06-22T09:58:45.000Z,43200,Christchurch,-43.5333,172.6333,4.39,4.39,-0.89,4.39,1025,,,84,0,0,,,,,20,801,Clouds,few clouds,02n,Christchurch,NZ
1655895431,2022-06-22T10:57:11.000Z,43200,Christchurch,-43.5333,172.6333,5.51,5.51,-1.89,5.51,1025,,,86,0.89,355,,,,,100,741,Fog,fog,50n,Christchurch,NZ
1655899379,2022-06-22T12:02:59.000Z,43200,Christchurch,-43.5333,172.6333,3.72,3.72,-1.89,6.06,1026,,,92,1.03,280,,,,,0,800,Clear,clear sky,01n,Christchurch,NZ
1655902599,2022-06-22T12:56:39.000Z,43200,Christchurch,-43.5333,172.6333,3.34,2,-1.89,5.51,1026,,,92,1.54,290,,,,,20,801,Clouds,few clouds,02n,Christchurch,NZ
1655906399,2022-06-22T13:59:59.000Z,43200,Christchurch,-43.5333,172.6333,2.16,2.16,-1.89,3.84,1026,,,89,0.51,320,,,,,0,800,Clear,clear sky,01n,Christchurch,NZ
1655910000,2022-06-22T15:00:00.000Z,43200,Christchurch,-43.5333,172.6333,-1.89,-1.89,-1.89,-0.29,1027,,,100,1.03,350,,,,,0,800,Clear,clear sky,01n,Christchurch,NZ
1655913624,2022-06-22T16:00:24.000Z,43200,Christchurch,-43.5333,172.6333,-2.89,-2.89,-2.89,0.23,1027,,,93,1.03,20,,,,,0,800,Clear,clear sky,01n,Christchurch,NZ
1655917500,2022-06-22T17:05:00.000Z,43200,Christchurch,-43.5333,172.6333,-2.89,-2.89,-2.89,-0.33,1027,,,100,0,0,,,,,40,802,Clouds,scattered clouds,03n,Christchurch,NZ
1655920800,2022-06-22T18:00:00.000Z,43200,Christchurch,-43.5333,172.6333,-1.89,-1.89,-1.89,-0.33,1027,,,100,0,0,,,,,100,804,Clouds,overcast clouds,04n,Christchurch,NZ
1655924400,2022-06-22T19:00:00.000Z,43200,Christchurch,-43.5333,172.6333,-2.89,-2.89,-2.89,-0.33,1027,,,100,0,0,,,,,20,801,Clouds,few clouds,02n,Christchurch,NZ
1655927914,2022-06-22T19:58:34.000Z,43200,Christchurch,-43.5333,172.6333,-3.89,-3.89,-3.89,-0.88,1027,,,100,0,0,,,,,23,801,Clouds,few clouds,02n,Christchurch,NZ
1655931305,2022-06-22T20:55:05.000Z,43200,Christchurch,-43.5333,172.6333,-3.89,-3.89,-3.89,0.23,1027,,,100,0,0,,,,,35,802,Clouds,scattered clouds,03d,Christchurch,NZ
1655935275,2022-06-22T22:01:15.000Z,43200,Christchurch,-43.5333,172.6333,-0.89,-0.89,-0.89,3.56,1027,,,100,0,0,,,,,40,802,Clouds,scattered clouds,03d,Christchurch,NZ
1655938850,2022-06-22T23:00:50.000Z,43200,Christchurch,-43.5333,172.6333,4.16,4.16,2.11,8.01,1027,,,87,1.03,10,,,,,46,802,Clouds,scattered clouds,03d,Christchurch,NZ
1655942228,2022-06-22T23:57:08.000Z,43200,Christchurch,-43.5333,172.6333,8.48,6.9,6.11,10.23,1024,,,78,2.68,350,,,,,55,803,Clouds,broken clouds,04d,Christchurch,NZ
1655945908,2022-06-23T00:58:28.000Z,43200,Christchurch,-43.5333,172.6333,9.57,7.92,7.49,10.51,1024,,,78,3.13,5,,,,,100,804,Clouds,overcast clouds,04d,Christchurch,NZ
1655949374,2022-06-23T01:56:14.000Z,43200,Christchurch,-43.5333,172.6333,9.89,7.6,8.04,10.51,1023,,,74,4.63,60,,,,,100,804,Clouds,overcast clouds,04d,Christchurch,NZ
1655953329,2022-06-23T03:02:09.000Z,43200,Christchurch,-43.5333,172.6333,10.24,9.33,8.04,10.79,1022,,,77,5.66,60,,,,,100,804,Clouds,overcast clouds,04d,Christchurch,NZ
1655957078,2022-06-23T04:04:38.000Z,43200,Christchurch,-43.5333,172.6333,10.08,9.21,7.49,10.51,1022,,,79,5.14,60,,,,,97,804,Clouds,overcast clouds,04d,Christchurch,NZ
1655960382,2022-06-23T04:59:42.000Z,43200,Christchurch,-43.5333,172.6333,9.02,6.31,5.74,9.95,1022,,,80,5.14,70,,,,,91,804,Clouds,overcast clouds,04n,Christchurch,NZ
1655964000,2022-06-23T06:00:00.000Z,43200,Christchurch,-43.5333,172.6333,8.11,5.62,2.96,9.39,1022,,,83,4.12,80,,,,,89,804,Clouds,overcast clouds,04n,Christchurch,NZ
1655967742,2022-06-23T07:02:22.000Z,43200,Christchurch,-43.5333,172.6333,8.63,6.03,3.6,9.39,1022,,,83,4.63,80,,,,,100,804,Clouds,overcast clouds,04n,Christchurch,NZ
1655970952,2022-06-23T07:55:52.000Z,43200,Christchurch,-43.5333,172.6333,8.44,6.29,3.04,9.39,1021,,,85,3.6,70,,,,,85,804,Clouds,overcast clouds,04n,Christchurch,NZ
1655975116,2022-06-23T09:05:16.000Z,43200,Christchurch,-43.5333,172.6333,7.57,5.81,4.15,9.39,1022,,,86,2.68,1,,,,,60,803,Clouds,broken clouds,04n,Christchurch,NZ
