temp_band,fraction,ymax,ymin,label_pos,label,target_var
0,0.25,0.25,0,0.125,25%,Ideal
1,0.75,1,0.25,0.625,75%,Ideal
2,0,1,1,1,,Ideal
3,0,1,1,1,,Ideal
4,0,1,1,1,0%,Ideal
0,0.15,0.15,0,0.075,15%,OK
1,0.65,0.8,0.15,0.475,65%,OK
2,0.14,0.94,0.8,0.87,14%,OK
3,0.06,1,0.94,0.97,6%,OK
4,0,1,1,1,,OK
0,0.05,0.05,0,0.025,5%,Poor
1,0.2,0.25,0.05,0.15,20%,Poor
2,0.35,0.6,0.25,0.425,35%,Poor
3,0.35,0.95,0.6,0.775,35%,Poor
4,0.05,1,0.95,0.975,5%,Poor
0,0,0,0,0,,Very Poor
1,0.07,0.07,0,0.035,7%,Very Poor
2,0.23,0.3,0.07,0.185,23%,Very Poor
3,0.55,0.85,0.3,0.575,55%,Very Poor
4,0.15,1,0.85,0.925,15%,Very Poor
