device_id,ts,seq,rssi,reading,val
P900001,1664848800,1,-51,co2,1079
P900001,1664848800,1,-51,voc,0
P900001,1664848800,1,-51,temp,21.8
P900001,1664848800,1,-51,pm1,18442.8
P900001,1664848800,1,-51,pm2_5,72071.5
P900001,1664848800,1,-51,hum,58.2
P900001,1664848800,1,-51,pm10,136277.3
P900001,1664849700,1,-40,co2,445
P900001,1664849700,1,-40,voc,100
P900001,1664849700,1,-40,temp,22.0
P900001,1664849700,1,-40,pm1,1.0
P900001,1664849700,1,-40,pm2_5,1.7
P900001,1664849700,1,-40,hum,45.4
P900001,1664849700,1,-40,pm10,2.5
P900001,1664850600,2,-32,co2,424
P900001,1664850600,2,-32,voc,100
P900001,1664850600,2,-32,temp,18.6
P900001,1664850600,2,-32,pm1,1.4
P900001,1664850600,2,-32,pm2_5,2.3
P900001,1664850600,2,-32,hum,54.1
P900001,1664850600,2,-32,pm10,3.3
P900001,1664851500,3,-31,co2,421
P900001,1664851500,3,-31,voc,100
P900001,1664851500,3,-31,temp,17.5
P900001,1664851500,3,-31,pm1,1.1
P900001,1664851500,3,-31,pm2_5,1.7
P900001,1664851500,3,-31,hum,57.6
P900001,1664851500,3,-31,pm10,2.3
P900001,1664852400,4,-29,co2,426
P900001,1664852400,4,-29,voc,100
P900001,1664852400,4,-29,temp,17.3
P900001,1664852400,4,-29,pm1,1.1
P900001,1664852400,4,-29,pm2_5,1.7
P900001,1664852400,4,-29,hum,57.9
P900001,1664852400,4,-29,pm10,2.4
P900001,1664853300,5,-29,co2,425
P900001,1664853300,5,-29,voc,100
P900001,1664853300,5,-29,temp,17.3
P900001,1664853300,5,-29,pm1,1.0
P900001,1664853300,5,-29,pm2_5,1.6
P900001,1664853300,5,-29,hum,58.2
P900001,1664853300,5,-29,pm10,2.3
P900001,1664854200,6,-26,co2,432
P900001,1664854200,6,-26,voc,100
P900001,1664854200,6,-26,temp,17.2
P900001,1664854200,6,-26,pm1,0.9
P900001,1664854200,6,-26,pm2_5,1.4
P900001,1664854200,6,-26,hum,58.0
P900001,1664854200,6,-26,pm10,2.0
P900001,1664855100,7,-30,co2,443
P900001,1664855100,7,-30,voc,100
P900001,1664855100,7,-30,temp,17.3
P900001,1664855100,7,-30,pm1,1.1
P900001,1664855100,7,-30,pm2_5,1.8
P900001,1664855100,7,-30,hum,58.3
P900001,1664855100,7,-30,pm10,2.5
P900001,1664856000,8,-24,co2,580
P900001,1664856000,8,-24,voc,100
P900001,1664856000,8,-24,temp,17.4
P900001,1664856000,8,-24,pm1,1.3
P900001,1664856000,8,-24,pm2_5,2.4
P900001,1664856000,8,-24,hum,58.5
P900001,1664856000,8,-24,pm10,3.7
P900001,1664856900,9,-23,co2,586
P900001,1664856900,9,-23,voc,100
P900001,1664856900,9,-23,temp,17.5
P900001,1664856900,9,-23,pm1,0.9
P900001,1664856900,9,-23,pm2_5,1.5
P900001,1664856900,9,-23,hum,58.1
P900001,1664856900,9,-23,pm10,2.2
P900001,1664857800,10,-25,co2,559
P900001,1664857800,10,-25,voc,100
P900001,1664857800,10,-25,temp,17.6
P900001,1664857800,10,-25,pm1,1.2
P900001,1664857800,10,-25,pm2_5,2.0
P900001,1664857800,10,-25,hum,57.8
P900001,1664857800,10,-25,pm10,2.9
P900001,1664858700,11,-22,co2,528
P900001,1664858700,11,-22,voc,100
P900001,1664858700,11,-22,temp,17.7
P900001,1664858700,11,-22,pm1,0.9
P900001,1664858700,11,-22,pm2_5,1.5
P900001,1664858700,11,-22,hum,57.6
P900001,1664858700,11,-22,pm10,2.0
P900001,1664859600,12,-23,co2,500
P900001,1664859600,12,-23,voc,100
P900001,1664859600,12,-23,temp,17.7
P900001,1664859600,12,-23,pm1,0.7
P900001,1664859600,12,-23,pm2_5,1.0
P900001,1664859600,12,-23,hum,57.3
P900001,1664859600,12,-23,pm10,1.4
P900001,1664860500,13,-24,co2,476
P900001,1664860500,13,-24,voc,100
P900001,1664860500,13,-24,temp,17.7
P900001,1664860500,13,-24,pm1,1.1
P900001,1664860500,13,-24,pm2_5,1.7
P900001,1664860500,13,-24,hum,57.2
P900001,1664860500,13,-24,pm10,2.2
P900001,1664861400,14,-22,co2,486
P900001,1664861400,14,-22,voc,100
P900001,1664861400,14,-22,temp,17.7
P900001,1664861400,14,-22,pm1,1.5
P900001,1664861400,14,-22,pm2_5,2.7
P900001,1664861400,14,-22,hum,57.2
P900001,1664861400,14,-22,pm10,4.0
P900001,1664862300,15,-28,co2,433
P900001,1664862300,15,-28,voc,100
P900001,1664862300,15,-28,temp,17.9
P900001,1664862300,15,-28,pm1,0.9
P900001,1664862300,15,-28,pm2_5,1.5
P900001,1664862300,15,-28,hum,57.5
P900001,1664862300,15,-28,pm10,2.0
P900001,1664863200,16,-24,co2,438
P900001,1664863200,16,-24,voc,100
P900001,1664863200,16,-24,temp,18.0
P900001,1664863200,16,-24,pm1,0.9
P900001,1664863200,16,-24,pm2_5,1.2
P900001,1664863200,16,-24,hum,58.3
P900001,1664863200,16,-24,pm10,1.6
P900001,1664864100,17,-25,co2,442
P900001,1664864100,17,-25,voc,100
P900001,1664864100,17,-25,temp,18.1
P900001,1664864100,17,-25,pm1,1.1
P900001,1664864100,17,-25,pm2_5,1.4
P900001,1664864100,17,-25,hum,59.0
P900001,1664864100,17,-25,pm10,1.6
P900001,1664865000,18,-22,co2,446
P900001,1664865000,18,-22,voc,100
P900001,1664865000,18,-22,temp,18.2
P900001,1664865000,18,-22,pm1,0.8
P900001,1664865000,18,-22,pm2_5,0.9
P900001,1664865000,18,-22,hum,59.3
P900001,1664865000,18,-22,pm10,1.0
P900001,1664867700,1,-18,co2,592
P900001,1664867700,1,-18,voc,0
