device_id,ts,seq,rssi,reading,val
S002560,1655893802,912,-62,dba,35.3
S002560,1655893802,912,-62,co2,543
S002560,1655893802,912,-62,lux,0
S002560,1655893802,912,-62,t60,0
S002560,1655893802,912,-62,temp,13.2
S002560,1655893802,912,-62,hum,53.5
S002560,1655894702,913,-62,dba,34.9
S002560,1655894702,913,-62,co2,543
S002560,1655894702,913,-62,lux,0
S002560,1655894702,913,-62,t60,0
S002560,1655894702,913,-62,temp,13.0
S002560,1655894702,913,-62,hum,53.4
S002560,1655895602,914,-64,dba,34.9
S002560,1655895602,914,-64,co2,542
S002560,1655895602,914,-64,lux,0
S002560,1655895602,914,-64,t60,0
S002560,1655895602,914,-64,temp,12.9
S002560,1655895602,914,-64,hum,53.5
S002560,1655896502,915,-58,dba,34.9
S002560,1655896502,915,-58,co2,542
S002560,1655896502,915,-58,lux,0
S002560,1655896502,915,-58,t60,0
S002560,1655896502,915,-58,temp,12.8
S002560,1655896502,915,-58,hum,53.4
S002560,1655897402,916,-55,dba,35.0
S002560,1655897402,916,-55,co2,527
S002560,1655897402,916,-55,lux,0
S002560,1655897402,916,-55,t60,0
S002560,1655897402,916,-55,temp,12.7
S002560,1655897402,916,-55,hum,53.5
S002560,1655898302,917,-61,dba,35.2
S002560,1655898302,917,-61,co2,530
S002560,1655898302,917,-61,lux,0
S002560,1655898302,917,-61,t60,0
S002560,1655898302,917,-61,temp,12.6
S002560,1655898302,917,-61,hum,53.5
S002560,1655899202,918,-64,dba,34.8
S002560,1655899202,918,-64,co2,528
S002560,1655899202,918,-64,lux,0
S002560,1655899202,918,-64,t60,0
S002560,1655899202,918,-64,temp,12.5
S002560,1655899202,918,-64,hum,53.3
S002560,1655900102,919,-64,dba,34.9
S002560,1655900102,919,-64,co2,524
S002560,1655900102,919,-64,lux,0
S002560,1655900102,919,-64,t60,0
S002560,1655900102,919,-64,temp,12.3
S002560,1655900102,919,-64,hum,53.4
S002560,1655901002,920,-63,dba,34.6
S002560,1655901002,920,-63,co2,524
S002560,1655901002,920,-63,lux,0
S002560,1655901002,920,-63,t60,0
S002560,1655901002,920,-63,temp,12.2
S002560,1655901002,920,-63,hum,53.6
S002560,1655901902,921,-64,dba,34.9
S002560,1655901902,921,-64,co2,522
S002560,1655901902,921,-64,lux,0
S002560,1655901902,921,-64,t60,0
S002560,1655901902,921,-64,temp,12.1
S002560,1655901902,921,-64,hum,53.5
