dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,city,country_code
1655989471,2022-06-23T13:04:31.000Z,43200,Wellington,-41.2866,174.7756,9.32,6.69,8.28,9.48,1023,,,90,5.14,40,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1655992871,2022-06-23T14:01:11.000Z,43200,Wellington,-41.2866,174.7756,9.32,7.36,8.28,9.48,1022,,,89,3.6,60,,,,,100,804,Clouds,overcast clouds,04n,Wellington,NZ
1655996366,2022-06-23T14:59:26.000Z,43200,Wellington,-41.2866,174.7756,8.52,6.68,7.73,8.81,1022,,,89,3.09,30,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1655999908,2022-06-23T15:58:28.000Z,43200,Wellington,-41.2866,174.7756,7.72,5.72,7.17,8.09,1021,,,91,3.09,40,,,,,40,802,Clouds,scattered clouds,03n,Wellington,NZ
1656003825,2022-06-23T17:03:45.000Z,43200,Wellington,-41.2866,174.7756,8.83,7.39,7.73,9.2,1021,,,91,2.57,50,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1656007365,2022-06-23T18:02:45.000Z,43200,Wellington,-41.2866,174.7756,8.21,6.31,8.09,8.81,1021,,,91,3.09,40,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1656010774,2022-06-23T18:59:34.000Z,43200,Wellington,-41.2866,174.7756,8.21,5.51,7.73,8.81,1021,,,90,4.63,20,,,,,40,802,Clouds,scattered clouds,03n,Wellington,NZ
1656014726,2022-06-23T20:05:26.000Z,43200,Wellington,-41.2866,174.7756,7.41,4.29,7.17,7.81,1022,,,88,5.14,30,,,,,95,804,Clouds,overcast clouds,04d,Wellington,NZ
1656018051,2022-06-23T21:00:51.000Z,43200,Wellington,-41.2866,174.7756,8.64,6.04,7.26,9.75,1022,,,85,4.63,20,,,,,93,804,Clouds,overcast clouds,04d,Wellington,NZ
1656021578,2022-06-23T21:59:38.000Z,43200,Wellington,-41.2866,174.7756,10.49,9.71,9.39,10.87,1022,,,81,5.14,20,,,,,20,801,Clouds,few clouds,02d,Wellington,NZ
1656025057,2022-06-23T22:57:37.000Z,43200,Wellington,-41.2866,174.7756,10.99,10.16,10.51,11.15,1022,,,77,6.69,10,,,,,96,804,Clouds,overcast clouds,04d,Wellington,NZ
1656028804,2022-06-24T00:00:04.000Z,43200,Wellington,-41.2866,174.7756,12.65,11.88,11.06,12.81,1022,,,73,6.17,10,,,,,75,803,Clouds,broken clouds,04d,Wellington,NZ
1656032402,2022-06-24T01:00:02.000Z,43200,Wellington,-41.2866,174.7756,12.65,11.85,11.62,12.81,1021,,,72,6.69,10,,,,,40,802,Clouds,scattered clouds,03d,Wellington,NZ
1656036325,2022-06-24T02:05:25.000Z,43200,Wellington,-41.2866,174.7756,12.9,12.13,12.53,13.81,1020,,,72,7.72,360,,,,,71,803,Clouds,broken clouds,04d,Wellington,NZ
1656039925,2022-06-24T03:05:25.000Z,43200,Wellington,-41.2866,174.7756,12.35,11.57,11.98,13.81,1019,,,74,7.72,360,,,,,78,803,Clouds,broken clouds,04d,Wellington,NZ
1656043528,2022-06-24T04:05:28.000Z,43200,Wellington,-41.2866,174.7756,11.79,11.01,11.06,12.81,1019,,,76,7.72,360,,,,,81,803,Clouds,broken clouds,04d,Wellington,NZ
1656047070,2022-06-24T05:04:30.000Z,43200,Wellington,-41.2866,174.7756,11.54,10.76,11.06,11.81,1019,,,77,5.66,20,,,,,84,501,Rain,moderate rain,10n,Wellington,NZ
1656050546,2022-06-24T06:02:26.000Z,43200,Wellington,-41.2866,174.7756,11.54,10.76,11.06,11.81,1019,,,77,4.12,50,,,,,75,501,Rain,moderate rain,10n,Wellington,NZ
1656053727,2022-06-24T06:55:27.000Z,43200,Wellington,-41.2866,174.7756,11.54,10.79,11.06,11.81,1019,,,78,5.14,20,,,,,100,804,Clouds,overcast clouds,04n,Wellington,NZ
1656057815,2022-06-24T08:03:35.000Z,43200,Wellington,-41.2866,174.7756,11.54,10.73,11.06,11.81,1019,,,76,4.63,30,,,,,100,804,Clouds,overcast clouds,04n,Wellington,NZ
1656061467,2022-06-24T09:04:27.000Z,43200,Wellington,-41.2866,174.7756,11.3,10.5,11.06,12.81,1018,,,77,5.66,350,,,,,100,804,Clouds,overcast clouds,04n,Wellington,NZ
1656064955,2022-06-24T10:02:35.000Z,43200,Wellington,-41.2866,174.7756,12.1,11.43,10.81,12.26,1018,,,79,4.63,10,,,,,20,801,Clouds,few clouds,02n,Wellington,NZ
1656068386,2022-06-24T10:59:46.000Z,43200,Wellington,-41.2866,174.7756,12.1,11.48,11.06,12.26,1018,,,81,5.66,360,,,,,40,802,Clouds,scattered clouds,03n,Wellington,NZ
1656072024,2022-06-24T12:00:24.000Z,43200,Wellington,-41.2866,174.7756,12.65,11.96,11.06,12.81,1018,,,76,5.66,350,,,,,100,804,Clouds,overcast clouds,04n,Wellington,NZ
1656075304,2022-06-24T12:55:04.000Z,43200,Wellington,-41.2866,174.7756,12.34,11.61,11.06,12.81,1017,,,76,5.14,360,,,,,75,501,Rain,moderate rain,10n,Wellington,NZ
1656079202,2022-06-24T14:00:02.000Z,43200,Wellington,-41.2866,174.7756,12.35,11.65,11.62,12.81,1017,,,77,6.17,10,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1656083058,2022-06-24T15:04:18.000Z,43200,Wellington,-41.2866,174.7756,12.35,11.73,11.62,12.81,1016,,,80,6.69,20,,,,,75,300,Drizzle,light intensity drizzle,09n,Wellington,NZ
1656086542,2022-06-24T16:02:22.000Z,43200,Wellington,-41.2866,174.7756,12.41,11.8,11.62,12.81,1015,,,80,5.14,10,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1656090306,2022-06-24T17:05:06.000Z,43200,Wellington,-41.2866,174.7756,12.1,11.43,11.06,12.81,1015,,,79,5.14,20,,,,,100,500,Rain,light rain,10n,Wellington,NZ
1656093585,2022-06-24T17:59:45.000Z,43200,Wellington,-41.2866,174.7756,12.65,11.98,11.06,12.81,1014,,,77,4.63,10,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1656097201,2022-06-24T19:00:01.000Z,43200,Wellington,-41.2866,174.7756,12.9,12.23,12.17,13.37,1015,,,76,6.17,360,,,,,100,501,Rain,moderate rain,10n,Wellington,NZ
