device_id,ts,seq,rssi,reading,val
F000000,1656068401,1482,-61,temp,20.4
F000000,1656068401,1482,-61,hum,57.6
F000000,1656068401,1482,-61,hcho,6.0
F000000,1656069301,1483,-60,temp,20.3
F000000,1656069301,1483,-60,hum,57.5
F000000,1656069301,1483,-60,hcho,5.8
F000000,1656070201,1484,-62,temp,20.3
F000000,1656070201,1484,-62,hum,57.3
F000000,1656070201,1484,-62,hcho,5.4
F000000,1656071101,1485,-61,temp,20.2
F000000,1656071101,1485,-61,hum,57.3
F000000,1656071101,1485,-61,hcho,5.0
F000000,1656072001,1486,-58,temp,20.2
F000000,1656072001,1486,-58,hum,57.9
F000000,1656072001,1486,-58,hcho,4.8
F000000,1656073801,1488,-55,temp,20.2
F000000,1656073801,1488,-55,hum,58.1
F000000,1656073801,1488,-55,hcho,5.4
F000000,1656074701,1489,-55,temp,20.2
F000000,1656074701,1489,-55,hum,57.7
F000000,1656074701,1489,-55,hcho,5.4
F000000,1656075601,1490,-52,temp,20.2
F000000,1656075601,1490,-52,hum,57.6
F000000,1656075601,1490,-52,hcho,5.2
F000000,1656077401,1492,-56,temp,19.9
F000000,1656077401,1492,-56,hum,58.2
F000000,1656077401,1492,-56,hcho,4.8
F000000,1656078301,1493,-53,temp,19.8
F000000,1656078301,1493,-53,hum,58.0
F000000,1656078301,1493,-53,hcho,5.0
F000000,1656079201,1494,-58,temp,19.8
F000000,1656079201,1494,-58,hum,57.8
F000000,1656079201,1494,-58,hcho,5.0
F000000,1656080101,1495,-52,temp,19.8
F000000,1656080101,1495,-52,hum,57.6
F000000,1656080101,1495,-52,hcho,5.2
F000000,1656081001,1496,-53,temp,19.7
F000000,1656081001,1496,-53,hum,57.2
F000000,1656081001,1496,-53,hcho,5.0
F000000,1656082801,1498,-57,temp,19.5
F000000,1656082801,1498,-57,hum,57.1
F000000,1656082801,1498,-57,hcho,4.6
F000000,1656083701,1499,-57,temp,19.4
F000000,1656083701,1499,-57,hum,57.2
F000000,1656083701,1499,-57,hcho,4.4
F000000,1656084601,1500,-57,temp,19.3
F000000,1656084601,1500,-57,hum,57.3
F000000,1656084601,1500,-57,hcho,4.4
F000000,1656085501,1501,-58,temp,19.2
F000000,1656085501,1501,-58,hum,57.3
F000000,1656085501,1501,-58,hcho,4.4
F000000,1656086402,1502,-55,temp,19.1
F000000,1656086402,1502,-55,hum,57.7
F000000,1656086402,1502,-55,hcho,4.4
F000000,1656087301,1503,-61,temp,18.9
F000000,1656087301,1503,-61,hum,58.4
F000000,1656087301,1503,-61,hcho,4.2
F000000,1656088201,1504,-58,temp,18.9
F000000,1656088201,1504,-58,hum,58.6
F000000,1656088201,1504,-58,hcho,4.4
F000000,1656089101,1505,-56,temp,18.9
F000000,1656089101,1505,-56,hum,58.9
