dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,city,country_code
1655981912,2022-06-23T10:58:32.000Z,43200,Rotorua,-38.1387,176.2452,2.52,2.52,1.45,4.18,1030,,,97,0.53,142,,,,,5,800,Clear,clear sky,01n,Rotorua,NZ
1655985461,2022-06-23T11:57:41.000Z,43200,Rotorua,-38.1387,176.2452,2.68,2.68,2.01,3.62,1029,,,98,0.71,144,,,,,10,800,Clear,clear sky,01n,Rotorua,NZ
1655989524,2022-06-23T13:05:24.000Z,43200,Rotorua,-38.1387,176.2452,2.28,2.28,1.45,3.62,1029,,,98,0.72,145,,,,,3,800,Clear,clear sky,01n,Rotorua,NZ
1655992686,2022-06-23T13:58:06.000Z,43200,Rotorua,-38.1387,176.2452,2.04,2.04,1.45,3.06,1029,,,99,0.71,139,,,,,2,800,Clear,clear sky,01n,Rotorua,NZ
1655996131,2022-06-23T14:55:31.000Z,43200,Rotorua,-38.1387,176.2452,2.12,2.12,1.45,3.62,1029,,,99,0.63,138,,,,,2,800,Clear,clear sky,01n,Rotorua,NZ
1655999837,2022-06-23T15:57:17.000Z,43200,Rotorua,-38.1387,176.2452,2.44,2.44,1.88,3.62,1029,,,99,0.6,146,,,,,4,800,Clear,clear sky,01n,Rotorua,NZ
1656003924,2022-06-23T17:05:24.000Z,43200,Rotorua,-38.1387,176.2452,1.74,1.74,1.33,3.62,1028,,,99,0.55,137,,,,,7,800,Clear,clear sky,01n,Rotorua,NZ
1656007524,2022-06-23T18:05:24.000Z,43200,Rotorua,-38.1387,176.2452,1.66,1.66,1.33,3.06,1029,,,99,0.72,128,,,,,11,801,Clouds,few clouds,02n,Rotorua,NZ
1656010770,2022-06-23T18:59:30.000Z,43200,Rotorua,-38.1387,176.2452,2.04,2.04,1.33,3.62,1029,,,99,0.58,140,,,,,41,802,Clouds,scattered clouds,03n,Rotorua,NZ
1656014542,2022-06-23T20:02:22.000Z,43200,Rotorua,-38.1387,176.2452,2.36,2.36,1.33,3.62,1029,,,99,0.68,132,,,,,57,803,Clouds,broken clouds,04d,Rotorua,NZ
1656018003,2022-06-23T21:00:03.000Z,43200,Rotorua,-38.1387,176.2452,3.47,3.47,2.56,6.55,1029,,,93,0.58,115,,,,,59,803,Clouds,broken clouds,04d,Rotorua,NZ
