"","device_owner","device_id","pac","name","data_type","comms_type","long","lat","last_comm","locationCode","addr","suburb","city","country","room","hhi","cluster","privacy","risk","buildingType","tenure","height","direction","school","building","floor","classRoom","deployment_id","share","fw_ver","status","room_type","school_code","class_code","test"
"1","teharatau.mailbox@education.govt.nz","S000099","89B416127D63221E","1011/6","CL","W",175.6134364,-40.3522695,1677706200,"Palmerston North|NZ","18 Princess St","Palmerston North Central","Palmerston North","New Zealand","unknown","unknown",NA,"Do Not Share","Low","unknown","unknown","unknown","unknown","Glenbervie School",NA,0,"unknown","48d9d10d-510d-110d-810d-000001616cdc",NA,"V0.0.0","NC","living","1011","6",FALSE
"2","teharatau.mailbox@education.govt.nz","S000109","9B1D684A7B626BB7","3314/Room 13","CL","W",172.6891015,-43.5100003,1688025600,"Christchurch|NZ","76 Breezes Rd","Avondale","Christchurch","New Zealand","unknown","unknown",NA,"Do Not Share","Low","unknown","unknown","unknown","unknown","Chisnallwood Intermediate",NA,0,"Room 13","5c89bfc1-3fc1-17c1-87c1-000011858133",NA,"V1.5.9","[66825|262914|66308|0|1|2|1|0|0|63]","living","3314","Room 13",FALSE
"3","teharatau.mailbox@education.govt.nz","S000110","B49283D9E857D6A2","1000000/OTA TEST 338 DTE 2","CL","W",0,0,1669600800,"|NZ",NA,NA,"Christchurch","New Zealand","unknown","unknown",NA,NA,NA,"unknown","unknown","unknown","unknown","test",NA,0,"unknown","00000030-0030-1030-8030-000000000030",NA,"V0.0.0","NC","living","1000000","OTA TEST 338 DTE 2",TRUE
"4","teharatau.mailbox@education.govt.nz","S000111","B00DB576D9663D9B","3986/ Block C/ Room 1","CL","W",168.8631696,-46.1929787,1688025600,"Mataura|NZ","Oakland St","Mataura","Mataura","New Zealand","unknown","unknown",NA,"Do Not Share","Low","unknown","unknown","unknown","unknown","Mataura School","Block C (HALL)",0,"Room 1","3ef94fb3-4fb3-17b3-87b3-00000aa760b3",NA,"V1.5.9","[66825|262914|66308|0|1|2|1|0|0|63]","living","3986"," Room 1",FALSE
"5","teharatau.mailbox@education.govt.nz","S000112","39F5208DAEB25CF6","3982/ Block A/ Room 11","CL","W",168.347432,-46.330071,1688025600,"Makarewa|NZ","56 Flora Rd E","Makarewa","Makarewa","New Zealand","unknown","unknown",NA,"Do Not Share","Low","unknown","unknown","unknown","unknown","Makarewa School","Block A",0,"Room 11","4dacc456-4456-1456-8456-000038557acb",NA,"V1.5.9","[66825|262914|66308|0|1|2|1|0|0|63]","living","3982"," Room 11",FALSE
"6","teharatau.mailbox@education.govt.nz","S000113","05528D3025AD9D0C","3585/Room 1","CL","W",172.4035713,-43.5704942,1688025600,"Rolleston|NZ","135 Weedons Ross Rd","Templeton","Rolleston","New Zealand","unknown","unknown",NA,"Do Not Share","Low","unknown","unknown","unknown","unknown","Weedons School","Block 1 - Administration Block",0,"Room 1","440f58a9-58a9-10a9-80a9-000068a69fcd",NA,"V1.5.9","[66825|262914|66308|0|1|2|1|0|0|63]","living","3585","Room 1",FALSE
"7","teharatau.mailbox@education.govt.nz","S000114","0F8F335F7F9CF940","3982/ Block B/ Room 1","CL","W",168.347432,-46.330071,1688025600,"Makarewa|NZ","56 Flora Rd E","Makarewa","Makarewa","New Zealand","unknown","unknown",NA,"Do Not Share","Low","unknown","unknown","unknown","unknown","Makarewa School","Block B",0,"Room 1","7cd72fe6-2fe6-17e6-87e6-00001c2abdcd",NA,"V1.5.9","[66825|262914|66308|0|1|2|1|0|0|63]","living","3982"," Room 1",FALSE
"8","teharatau.mailbox@education.govt.nz","S000115","414D39185E73FD34","4008/ Block B/ Room 3","CL","W",168.0193046,-46.352142,1688025600,"Riverton / Aparima|NZ","7 Leader St","Riverton / Aparima","Riverton / Aparima","New Zealand","unknown","unknown",NA,"Do Not Share","Low","unknown","unknown","unknown","unknown","Riverton School","Block B",0,"Room 3","62896a84-6a84-1284-8284-000018b54231",NA,"V1.5.9","[66825|262914|66308|0|1|2|1|0|0|63]","living","4008"," Room 3",FALSE
"9","teharatau.mailbox@education.govt.nz","S000116","DFCC108642DD0802","3986/ Block A/ Room 11","CL","W",168.8631696,-46.1929787,1688025600,"Mataura|NZ","Oakland St","Mataura","Mataura","New Zealand","unknown","unknown",NA,"Do Not Share","Low","unknown","unknown","unknown","unknown","Mataura School","Admin Block",0,"Room 11","6861a9ca-29ca-11ca-81ca-00000570c035",NA,"V1.5.9","[66825|262914|66308|0|1|2|1|0|0|63]","living","3986"," Room 11",FALSE
"10","teharatau.mailbox@education.govt.nz","S000117","358DD396CAA57D03","338/Music 1","CL","W",172.5257674,-43.537826,1688005800,"Christchurch|NZ","180 Waterloo Rd","Hornby","Christchurch","New Zealand","unknown","unknown",NA,"Do Not Share","Low","unknown","unknown","unknown","unknown","Hornby High School",NA,0,"Music 1","0c280f8e-0f8e-178e-878e-00006afc1c55",NA,"V1.5.9","[66825|262914|66308|0|33|34|33|0|0|127]","living","338","Music 1",FALSE
